19080|15089148|9|1|1|500309|4|
19080|15089148|9|1|1|200609|3|
19080|15089148|9|1|1|101209|905|
19080|15089148|9|1|1|200709|3|
19080|15089148|9|1|1|101509|X|
19080|15089148|9|1|1|500109|MTU|
19080|15089148|9|1|1|101609|COMERCIO DE ENVASES PAPEL CARTON Y PRODUCTOS QUIMCIOS|
19080|15089148|9|1|1|505009|1|
19080|15089148|9|1|1|101709|X|
19080|15089148|9|1|1|505109|7.2000|
19080|15089148|9|1|1|101809|SERVICIO DE EMPACADO Y EMPAQUETADO|
19080|15089148|9|1|1|505209|10.8300|
19080|15089148|9|1|1|102309|1|
19080|15089148|9|1|1|200209|ANDRES PUGA INFANTE|
19080|15089148|9|1|1|505309|15.1600|
19080|15089148|9|1|1|200309|ANDADOR CANASTA 248 CP 37237 LEON GUANAJUATO|
19080|15089148|9|1|1|505409|7|
19080|15089148|9|1|1|200409|PUIA641111162|
19080|15089148|9|1|1|505509|503152102448|
19080|15089148|9|2|1|200509|MX|
19080|15089148|9|2|1|500309|4|
19080|15089148|9|2|1|200609|3|
19080|15089148|9|2|1|101209|905|
19080|15089148|9|2|1|200709|3|
19080|15089148|9|2|1|101509|X|
19080|15089148|9|2|1|500109|MTU|
19080|15089148|9|2|1|101609|COMERCIO DE ENVASES PAPEL CARTON Y PRODUCTOS QUIMICOS|
19080|15089148|9|2|1|505009|1|
19080|15089148|9|2|1|101709|X|
19080|15089148|9|2|1|505109|9.8100|
19080|15089148|9|2|1|101809|SERVICIO DE EMPACADO Y EMPAQUETADO|
19080|15089148|9|2|1|505209|11.3800|
19080|15089148|9|2|1|102309|1|
19080|15089148|9|2|1|200209|ANDRES PUGA INFANTE|
19080|15089148|9|2|1|505309|21.4000|
19080|15089148|9|2|1|200309|ANDADOR CANASTA 248 CP 37237 LEON GUANAJUATO|
19080|15089148|9|2|1|505409|10|
19080|15089148|9|2|1|200409|PUIA641111162|
19080|15089148|9|2|1|505509|281928695169|
19080|15089148|9|3|1|200509|MX|
19080|15089148|9|3|1|500309|4|
19080|15089148|9|3|1|200609|3|
19080|15089148|9|3|1|101209|905|
19080|15089148|9|3|1|200709|3|
19080|15089148|9|3|1|101509|X|
19080|15089148|9|3|1|500109|MTU|
19080|15089148|9|3|1|101609|COMERCIO DE ENVASES PAPEL CARTON Y PRODUCTOS QUIMICOS|
19080|15089148|9|3|1|505009|1|
19080|15089148|9|3|1|101709|X|
19080|15089148|9|3|1|505109|3.4900|
19080|15089148|9|3|1|101809|SERVICIO DE EMPACADO Y EMPAQUETADO|
19080|15089148|9|3|1|505209|13.4200|
19080|15089148|9|3|1|102309|1|
19080|15089148|9|3|1|200209|ANDRES PUGA INFANTE|
19080|15089148|9|3|1|505309|19.9500|
19080|15089148|9|3|1|200309|ANDADOR CANASTA 248 CP 37237 LEON GUANAJUATO|
19080|15089148|9|3|1|505409|7|
19080|15089148|9|3|1|200409|PUIA641111162|
19080|15089148|9|3|1|505509|267127522754|
19080|15089246|9|1|1|200209|CRP DEL BAJIO S.A. DE C.V.|
19080|15089246|9|1|1|505309|15.1600|
19080|15089246|9|1|1|200309|GASODUCTO 108 CP 37689 LEON GUANAJUATO |
19080|15089246|9|1|1|505409|7|
19080|15089246|9|1|1|200409|CBA190207LU8|
19080|15089246|9|1|1|505509|503152102448|
19080|15089246|9|1|1|200509|MX|
19080|15089246|9|1|1|500309|4|
19080|15089246|9|1|1|200609|3|
19080|15089246|9|1|1|101209|905|
19080|15089246|9|1|1|200709|1|
19080|15089246|9|1|1|101509|X|
19080|15089246|9|1|1|500109|MTU|
19080|15089246|9|1|1|101609|COMERCIO DE ENVASES PAPEL CARTON Y PRODUCTOS QUIMICOS|
19080|15089246|9|1|1|505009|1|
19080|15089246|9|1|1|101709|X|
19080|15089246|9|1|1|505109|7.2000|
19080|15089246|9|1|1|101809|SERVICIO DE EMPACADO Y EMPAQUETADO |
19080|15089246|9|1|1|505209|10.8300|
19080|15089246|9|1|1|102309|1|
19080|15089246|9|2|1|200209|CRP DEL BAJIO S.A. DE C.V.|
19080|15089246|9|2|1|505309|21.4000|
